IP,MAC,First Seen,Last Seen,Total Traffic (bytes),Top DNS Queries
172.16.3.5,8c:94:1f:51:4b:56,2024-07-17 13:56:25.833026,2024-07-17 13:56:25.833028,0,
172.16.3.10,8c:94:1f:51:4b:56,2024-07-17 13:56:28.228272,2024-07-17 14:01:05.056232,0,
172.16.3.59,8c:94:1f:51:4b:56,2024-07-17 13:56:35.272319,2024-07-17 13:56:35.272344,0,
172.16.3.215,8c:94:1f:51:4b:56,2024-07-17 13:56:35.272353,2024-07-17 13:59:37.248262,0,
172.16.3.229,8c:94:1f:51:4b:56,2024-07-17 13:56:37.716228,2024-07-17 13:56:37.716229,0,
172.16.3.37,8c:94:1f:51:4b:56,2024-07-17 13:56:40.044531,2024-07-17 13:56:40.044533,0,
172.16.3.97,8c:94:1f:51:4b:56,2024-07-17 13:56:42.388193,2024-07-17 13:56:42.388194,0,
172.16.3.221,8c:94:1f:51:4b:56,2024-07-17 13:56:47.104212,2024-07-17 13:57:07.808447,0,
172.16.3.139,8c:94:1f:51:4b:56,2024-07-17 13:56:51.740054,2024-07-17 13:59:32.588453,0,
172.16.3.197,8c:94:1f:51:4b:56,2024-07-17 13:56:54.064365,2024-07-17 14:00:53.328649,0,
172.16.3.150,8c:94:1f:51:4b:56,2024-07-17 13:57:03.232401,2024-07-17 13:59:41.912651,0,
172.16.3.205,8c:94:1f:51:4b:56,2024-07-17 13:57:12.408202,2024-07-17 13:59:18.456324,0,
172.16.3.147,8c:94:1f:51:4b:56,2024-07-17 13:57:35.468124,2024-07-17 13:59:23.224291,0,
172.16.3.80,8c:94:1f:51:4b:56,2024-07-17 13:57:38.228659,2024-07-17 13:57:38.228661,0,
172.16.3.184,8c:94:1f:51:4b:56,2024-07-17 13:57:38.228666,2024-07-17 13:57:38.228669,0,
172.16.3.145,8c:94:1f:51:4b:56,2024-07-17 13:57:45.152279,2024-07-17 14:00:44.084234,0,
172.16.3.162,8c:94:1f:51:4b:56,2024-07-17 13:57:49.872405,2024-07-17 13:57:49.872407,0,
172.16.3.47,8c:94:1f:51:4b:56,2024-07-17 13:57:52.320162,2024-07-17 13:59:20.868337,0,
172.16.3.103,8c:94:1f:51:4b:56,2024-07-17 13:57:59.488656,2024-07-17 13:58:33.408446,0,
172.16.3.252,8c:94:1f:51:4b:56,2024-07-17 13:58:06.568136,2024-07-17 13:58:06.568137,0,
172.16.3.58,8c:94:1f:51:4b:56,2024-07-17 13:58:11.513605,2024-07-17 13:58:11.513608,0,
172.16.3.17,8c:94:1f:51:4b:56,2024-07-17 13:58:19.516150,2024-07-17 13:58:19.516175,0,
172.16.3.124,8c:94:1f:51:4b:56,2024-07-17 13:58:42.679427,2024-07-17 13:58:42.679429,0,
172.16.3.78,8c:94:1f:51:4b:56,2024-07-17 13:58:47.364346,2024-07-17 13:58:47.364347,0,
172.16.3.53,8c:94:1f:51:4b:56,2024-07-17 13:58:49.708237,2024-07-17 13:58:49.708258,0,
172.16.3.128,8c:94:1f:51:4b:56,2024-07-17 13:58:54.484613,2024-07-17 13:59:39.624118,0,
172.16.3.109,8c:94:1f:51:4b:56,2024-07-17 13:58:57.106537,2024-07-17 13:58:57.106540,0,
172.16.3.246,8c:94:1f:51:4b:56,2024-07-17 13:58:57.106547,2024-07-17 13:58:57.106550,0,
172.16.3.56,8c:94:1f:51:4b:56,2024-07-17 13:58:59.436192,2024-07-17 13:58:59.436212,0,
172.16.3.104,8c:94:1f:51:4b:56,2024-07-17 13:59:04.092322,2024-07-17 13:59:04.092324,0,
172.16.3.243,8c:94:1f:51:4b:56,2024-07-17 13:59:06.348541,2024-07-17 13:59:06.348543,0,
172.16.3.202,8c:94:1f:51:4b:56,2024-07-17 13:59:11.404266,2024-07-17 13:59:11.404268,0,
172.16.3.234,8c:94:1f:51:4b:56,2024-07-17 13:59:27.792331,2024-07-17 13:59:27.792332,0,
172.16.3.135,8c:94:1f:51:4b:56,2024-07-17 13:59:30.152184,2024-07-17 14:00:04.892245,0,
172.16.3.178,8c:94:1f:51:4b:56,2024-07-17 13:59:46.476398,2024-07-17 13:59:46.476399,0,
172.16.3.163,8c:94:1f:51:4b:56,2024-07-17 14:00:14.132194,2024-07-17 14:00:14.132196,0,
172.16.3.194,8c:94:1f:51:4b:56,2024-07-17 14:00:16.416759,2024-07-17 14:00:41.768344,0,
172.16.3.148,8c:94:1f:51:4b:56,2024-07-17 14:00:39.488531,2024-07-17 14:00:39.488534,0,
172.16.3.187,8c:94:1f:51:4b:56,2024-07-17 14:00:51.044369,2024-07-17 14:00:51.044371,0,
172.16.3.154,8c:94:1f:51:4b:56,2024-07-17 14:01:09.816160,2024-07-17 14:01:09.816182,0,
